			Stock 1			Stock 2			Stock 3			Stock 4
			38			8			52			2
			37			9			52			2
			39			7			52			2
			36			10			52			2
			40			6			52			2
			35			11			52			2
			41			5			52			2
			34			12			52			2
			42			4			52			2
			33			13			52			2
			43			3			52			2
			32			14			52			2
			44			2			52			2
			31			15			52			2
			45			1			52			2
			30			16			52			2
			46			0			52			2
			29			17			52			2
			28			18			52			2
			27			19			52			2
			26			20			52			2
			25			21			52			2
			24			22			52			2
			23			24			51			2
			23			23			52			2
			24			23			51			2
			25			22			51			2
			26			21			51			2
			27			20			51			2
			28			19			51			2
			29			18			51			2
			30			17			51			2
			45			0			53			2
			31			16			51			2
			44			1			53			2
			32			15			51			2
			43			2			53			2
			33			14			51			2
			42			3			53			2
			34			13			51			2
			41			4			53			2
			35			12			51			2
			40			5			53			2
			36			11			51			2
			39			6			53			2
			37			10			51			2
			38			7			53			2
			38			9			51			2
			37			8			53			2
			39			8			51			2
			36			9			53			2
			40			7			51			2
			35			10			53			2
			41			6			51			2
			34			11			53			2
			42			5			51			2
			33			12			53			2
			43			4			51			2
			32			13			53			2
			44			3			51			2
			31			14			53			2
			45			2			51			2
			30			15			53			2
			46			1			51			2
			29			16			53			2
			47			0			51			2
			28			17			53			2
			27			18			53			2
			26			19			53			2
			25			20			53			2
			24			21			53			2
			23			25			50			2
			23			22			53			2
			24			24			50			2
			44			0			54			2
			43			1			54			2
			42			2			54			2
			41			3			54			2
			40			4			54			2
			39			5			54			2
			38			6			54			2
			37			7			54			2
			36			8			54			2
			35			9			54			2
			34			10			54			2
			33			11			54			2
			32			12			54			2
			31			13			54			2
			30			14			54			2
			29			15			54			2
			28			16			54			2
			27			17			54			2
			26			18			54			2
			25			19			54			2
			24			20			54			2
			23			21			54			2
			43			0			55			2
			42			1			55			2
			41			2			55			2
			25			15			59			1
			40			3			55			2
			26			14			59			1
			39			4			55			2
			27			13			59			1
			38			5			55			2
			28			12			59			1
			37			6			55			2
			29			11			59			1
			36			7			55			2
			30			10			59			1
			35			8			55			2
			31			9			59			1
			34			9			55			2
			32			8			59			1
			33			10			55			2
			33			7			59			1
			32			11			55			2
			34			6			59			1
			31			12			55			2
			35			5			59			1
			30			13			55			2
			36			4			59			1
			29			14			55			2
			37			3			59			1
			28			15			55			2
			38			2			59			1
			27			16			55			2
			39			1			59			1
			26			17			55			2
			40			0			59			1
			25			18			55			2
			24			19			55			2
			23			20			55			2
			23			18			58			1
			42			0			56			2
			24			17			58			1
			41			1			56			2
			25			16			58			1
			40			2			56			2
			26			15			58			1
			39			3			56			2
			27			14			58			1
			38			4			56			2
			28			13			58			1
			37			5			56			2
			29			12			58			1
			36			6			56			2
			30			11			58			1
			35			7			56			2
			31			10			58			1
			34			8			56			2
			32			9			58			1
			33			9			56			2
			33			8			58			1
			32			10			56			2
			34			7			58			1
			31			11			56			2
			35			6			58			1
			30			12			56			2
			36			5			58			1
			29			13			56			2
			37			4			58			1
			28			14			56			2
			38			3			58			1
			27			15			56			2
			39			2			58			1
			26			16			56			2
			40			1			58			1
			25			17			56			2
			41			0			58			1
			24			18			56			2
			23			19			56			2
			23			19			57			1
			24			18			57			1
			41			0			57			2
			25			17			57			1
			40			1			57			2
			26			16			57			1
			39			2			57			2
			27			15			57			1
			38			3			57			2
			28			14			57			1
			37			4			57			2
			29			13			57			1
			36			5			57			2
			30			12			57			1
			35			6			57			2
			31			11			57			1
			34			7			57			2
			32			10			57			1
			33			8			57			2
			33			9			57			1
			32			9			57			2
			34			8			57			1
