			Stock 1			Stock 2			Stock 3			Stock 4
			27			16			0			57
			37			6			0			57
			23			20			0			57
			28			15			0			57
			17			26			0			57
			25			18			0			57
			12			31			0			57
			31			12			0			57
			14			29			0			57
			13			30			0			57
			15			28			0			57
			32			11			0			57
			30			13			0			57
			16			27			0			57
			36			7			0			57
			20			23			0			57
			33			10			0			57
			35			8			0			57
			24			19			0			57
			26			17			0			57
			18			25			0			57
			21			22			0			57
			19			24			0			57
			11			32			0			57
			22			21			0			57
			34			9			0			57
			29			14			0			57
			19			23			1			57
			32			10			1			57
			35			7			1			57
			12			30			1			57
			21			21			1			57
			14			28			1			57
			22			20			1			57
			23			19			1			57
			16			26			1			57
			27			15			1			57
			15			27			1			57
			30			12			1			57
			24			18			1			57
			13			29			1			57
			26			16			1			57
			34			8			1			57
			31			11			1			57
			11			31			1			57
			36			6			1			57
			33			9			1			57
			37			5			1			57
			17			25			1			57
			28			14			1			57
			29			13			1			57
			18			24			1			57
			20			22			1			57
			25			17			1			57
			29			11			4			56
			36			4			4			56
			34			6			4			56
			15			25			4			56
			14			26			4			56
			13			27			4			56
			21			19			4			56
			28			12			4			56
			18			22			4			56
			35			5			4			56
			26			14			4			56
			20			20			4			56
			19			21			4			56
			23			17			4			56
			30			10			4			56
			24			16			4			56
			37			3			4			56
			31			9			4			56
			17			23			4			56
			22			18			4			56
			38			2			4			56
			16			24			4			56
			25			15			4			56
			12			28			4			56
			27			13			4			56
			32			8			4			56
			33			7			4			56
			25			16			2			57
			26			15			2			57
			38			3			2			57
			18			23			2			57
			27			14			2			57
			33			8			2			57
			14			27			2			57
			21			20			2			57
			16			25			2			57
			19			22			2			57
			12			29			2			57
			34			7			2			57
			28			13			2			57
			32			9			2			57
			30			11			2			57
			17			24			2			57
			37			4			2			57
			35			6			2			57
			36			5			2			57
			20			21			2			57
			24			17			2			57
			13			28			2			57
			22			19			2			57
			31			10			2			57
			23			18			2			57
			29			12			2			57
			15			26			2			57
			26			13			5			56
			32			7			5			56
			21			18			5			56
			38			1			5			56
			34			5			5			56
			27			12			5			56
			31			8			5			56
			36			3			5			56
			24			15			5			56
			29			10			5			56
			28			11			5			56
			33			6			5			56
			25			14			5			56
			37			2			5			56
			35			4			5			56
			22			17			5			56
			23			16			5			56
			30			9			5			56
			24			18			0			58
			21			21			0			58
			20			22			0			58
			15			27			0			58
			19			23			0			58
			16			26			0			58
			11			31			0			58
			26			16			0			58
			29			13			0			58
			12			30			0			58
			14			28			0			58
			28			14			0			58
			18			24			0			58
			32			10			0			58
			30			12			0			58
			25			17			0			58
			34			8			0			58
			23			19			0			58
			37			5			0			58
			31			11			0			58
			35			7			0			58
			27			15			0			58
			17			25			0			58
			22			20			0			58
			33			9			0			58
			36			6			0			58
			13			29			0			58
			13			27			3			57
			12			28			3			57
			27			13			3			57
			33			7			3			57
			16			24			3			57
			24			16			3			57
			23			17			3			57
			32			8			3			57
			38			2			3			57
			17			23			3			57
			36			4			3			57
			15			25			3			57
			37			3			3			57
			31			9			3			57
			28			12			3			57
			29			11			3			57
			35			5			3			57
			25			15			3			57
			30			10			3			57
			20			20			3			57
			19			21			3			57
			18			22			3			57
			34			6			3			57
			26			14			3			57
			21			19			3			57
			14			26			3			57
			22			18			3			57
			24			17			1			58
			30			11			1			58
			38			3			1			58
			31			10			1			58
			27			14			1			58
			17			24			1			58
			15			26			1			58
			33			8			1			58
			22			19			1			58
			21			20			1			58
			25			16			1			58
			14			27			1			58
			37			4			1			58
			29			12			1			58
			35			6			1			58
			18			23			1			58
			28			13			1			58
			36			5			1			58
			16			25			1			58
			13			28			1			58
			12			29			1			58
			34			7			1			58
			32			9			1			58
			19			22			1			58
			26			15			1			58
			23			18			1			58
			20			21			1			58
			33			7			2			58
			26			14			2			58
			24			16			2			58
			30			10			2			58
			32			8			2			58
			29			11			2			58
			28			12			2			58
			31			9			2			58
			34			6			2			58
			35			5			2			58
			37			3			2			58
			38			2			2			58
			36			4			2			58
			25			15			2			58
			27			13			2			58
			23			18			0			59
			25			16			0			59
			19			22			0			59
			27			14			0			59
			20			21			0			59
			26			15			0			59
			38			3			0			59
			13			28			0			59
			28			13			0			59
			33			8			0			59
			30			11			0			59
			36			5			0			59
			18			23			0			59
			35			6			0			59
			22			19			0			59
			29			12			0			59
			31			10			0			59
			14			27			0			59
			15			26			0			59
			37			4			0			59
			12			29			0			59
			17			24			0			59
			32			9			0			59
			16			25			0			59
			34			7			0			59
			21			20			0			59
			24			17			0			59
